project,repo_name,prs_in_window,first_month,last_month,ok_not_gone,ok_not_archived,ok_volume,ok_existed,ok_runs_late,activity_rank,selected
pytorch,cpuinfo,196,2023-08-01,2026-07-01,t,t,t,t,t,24,f
pytorch,examples,171,2023-08-01,2026-05-01,t,t,t,t,f,25,f
pytorch,pytorch-integration-testing,158,2024-07-01,2026-07-01,t,t,t,t,t,26,f
pytorch,gloo,125,2023-08-01,2026-07-01,t,t,t,t,t,27,f
pytorch,docs,91,2024-04-01,2026-07-01,t,t,t,f,t,28,f
pytorch,glow,68,2023-08-01,2024-05-01,t,f,t,t,f,29,f
pytorch,pytorch_sphinx_theme,64,2023-08-01,2026-05-01,t,t,t,t,f,30,f
pytorch,text,49,2023-08-01,2025-09-01,t,f,t,t,f,31,f
pytorch,rfcs,45,2023-08-01,2026-07-01,t,t,t,t,t,32,f
pytorch,extension-cpp,28,2024-04-01,2026-05-01,t,t,t,t,f,33,f
pytorch,ort,26,2023-08-01,2026-02-01,t,t,t,t,f,34,f
pytorch,devlogs,26,2026-05-01,2026-07-01,t,t,t,f,t,35,f
pytorch,expecttest,20,2023-12-01,2025-06-01,t,t,f,t,f,36,f
pytorch,alerting-infra,17,2025-09-01,2026-06-01,t,t,f,f,t,37,f
pytorch,crcr-test,13,2026-05-01,2026-07-01,t,t,f,f,t,38,f
pytorch,hub,10,2023-09-01,2025-08-01,t,t,f,t,f,39,f
pytorch,tensorpipe,6,2025-08-01,2025-12-01,t,t,f,t,f,40,f
pytorch,torcharrow,3,2024-01-01,2024-03-01,t,f,f,t,f,41,f
pytorch,annex,3,2026-04-01,2026-07-01,t,t,f,f,t,42,f
pytorch,torchdistx,3,2023-11-01,2024-03-01,t,f,f,t,f,43,f
pytorch,torchdynamo,3,2023-08-01,2024-04-01,t,f,f,t,f,44,f
pytorch,functorch,2,2025-04-01,2025-04-01,t,f,f,t,f,45,f
pytorch,ios-demo-app,1,2024-08-01,2024-08-01,t,f,f,t,f,46,f
pytorch,tvm,0,,,t,f,f,t,,47,f
pytorch,extension-script,0,,,t,f,f,t,,48,f
pytorch,ossci-job-dsl,0,,,t,f,f,t,,49,f
pytorch,QNNPACK,0,,,t,f,f,t,,50,f
pytorch,ci-hud,0,,,t,f,f,t,,51,f
pytorch,caffe2.github.io,0,,,t,f,f,t,,52,f
pytorch,cppdocs,0,,,t,t,f,t,,53,f
pytorch,contrib,0,,,t,f,f,t,,54,f
pytorch,torchhub_testing,0,,,t,f,f,t,,55,f
pytorch,ELF,0,,,t,f,f,t,,56,f
pytorch,sccache,0,,,t,f,f,t,,57,f
pytorch,dr-ci,0,,,t,f,f,t,,58,f
pytorch,extension-ffi,0,,,t,f,f,t,,59,f
pytorch,translate,0,,,t,f,f,t,,60,f
pytorch,java-demo,0,,,t,f,f,t,,61,f
pytorch,pytorch-ci-dockerfiles,0,,,t,f,f,t,,62,f
pytorch,labeler-github-action,0,,,t,f,f,t,,63,f
pytorch,maskedtensor,0,,,t,f,f,t,,64,f
pytorch,accimage,0,,,t,f,f,t,,65,f
pytorch,nestedtensor,0,,,t,f,f,t,,66,f
pytorch,elastic,0,,,t,f,f,t,,67,f
pytorch,android-demo-app,0,,,t,f,f,t,,68,f
pytorch,add-annotations-github-action,0,,,t,f,f,t,,69,f
pytorch,probot,0,,,t,f,f,t,,70,f
