project,repo_name,repo_archived,repo_gone,month,outcome,author_association,author_pseud,size_lines,files_touched,review_count,hours_to_first_review,hours_to_merge
moby,buildkit,f,f,2023-12-01,open,NONE,ad2072140,33,2,1,7,
moby,buildkit,f,f,2023-12-01,merged,COLLABORATOR,a45bdb06c,17553,117,11,20,191
moby,buildkit,f,f,2023-12-01,closed,CONTRIBUTOR,a65d9d1bf,1406,11,1,25,
moby,buildkit,f,f,2023-12-01,merged,COLLABORATOR,a169a456a,35,8,2,6,8
moby,buildkit,f,f,2023-12-01,merged,CONTRIBUTOR,aa0450d8f,137,3,2,11,826
moby,buildkit,f,f,2023-12-01,merged,MEMBER,a665e4470,4,2,1,5,5
moby,buildkit,f,f,2023-12-01,closed,MEMBER,a665e4470,131,2,1,17,
moby,buildkit,f,f,2023-12-01,closed,MEMBER,afdafcebc,84,4,2,1,
moby,buildkit,f,f,2023-12-01,closed,CONTRIBUTOR,aa0450d8f,1501,21,0,,
moby,buildkit,f,f,2023-12-01,merged,CONTRIBUTOR,a0f44e7a5,24,1,1,30,30
moby,buildkit,f,f,2023-12-01,merged,MEMBER,af5c6dc4c,187,4,3,14,63
moby,buildkit,f,f,2023-12-01,merged,MEMBER,af5c6dc4c,6,1,3,6,13
moby,buildkit,f,f,2023-12-01,closed,COLLABORATOR,a45bdb06c,141,7,10,81,
moby,buildkit,f,f,2023-12-01,merged,COLLABORATOR,a169a456a,189,14,2,32,37
moby,buildkit,f,f,2023-12-01,merged,MEMBER,afdafcebc,45,7,1,24,613
moby,buildkit,f,f,2023-12-01,merged,COLLABORATOR,a680facbc,315,25,25,0,59
moby,buildkit,f,f,2023-12-01,closed,CONTRIBUTOR,a619ab9b4,1758,68,0,,
moby,buildkit,f,f,2023-12-01,merged,COLLABORATOR,a45bdb06c,456,10,6,2,3528
moby,buildkit,f,f,2023-12-01,merged,MEMBER,a665e4470,17,3,2,0,6
moby,buildkit,f,f,2023-12-01,merged,MEMBER,ad28e9a8f,8,1,1,9,9
moby,buildkit,f,f,2023-12-01,merged,MEMBER,ad28e9a8f,10,1,3,8,15
moby,buildkit,f,f,2023-12-01,merged,MEMBER,ad28e9a8f,4,2,2,8,9
moby,buildkit,f,f,2023-12-01,closed,MEMBER,ad28e9a8f,37,2,2,1,
moby,buildkit,f,f,2023-12-01,merged,COLLABORATOR,a680facbc,13,1,1,1,1
moby,buildkit,f,f,2023-12-01,merged,MEMBER,afdafcebc,26,1,3,0,15
moby,buildkit,f,f,2023-12-01,closed,CONTRIBUTOR,a619ab9b4,1719,400,1,17,
moby,buildkit,f,f,2023-12-01,merged,MEMBER,ad28e9a8f,35,2,3,33,392
moby,buildkit,f,f,2023-12-01,merged,MEMBER,a665e4470,3,1,2,0,1
moby,buildkit,f,f,2023-12-01,closed,CONTRIBUTOR,ad7cbca29,13988,36,4,12,
moby,buildkit,f,f,2023-12-01,merged,MEMBER,afdafcebc,3066,429,1,0,30
moby,buildkit,f,f,2023-12-01,closed,NONE,a9adc2b77,1719,400,1,166,
moby,buildkit,f,f,2023-12-01,closed,COLLABORATOR,a45bdb06c,148,3,0,,
moby,buildkit,f,f,2023-12-01,merged,COLLABORATOR,a45bdb06c,51,1,5,117,122
moby,buildkit,f,f,2024-01-01,merged,MEMBER,af5c6dc4c,181,7,1,1,1
moby,buildkit,f,f,2024-01-01,merged,CONTRIBUTOR,aa978d8f6,32,2,2,13,32
moby,buildkit,f,f,2024-01-01,closed,NONE,a7b22861b,195,10,0,,
moby,buildkit,f,f,2024-01-01,merged,COLLABORATOR,a29405abf,19,1,1,0,19
moby,buildkit,f,f,2024-01-01,merged,COLLABORATOR,a45bdb06c,88,4,5,0,23
moby,buildkit,f,f,2024-01-01,merged,MEMBER,afdafcebc,231,15,1,0,2
moby,buildkit,f,f,2024-01-01,merged,MEMBER,ad28e9a8f,200,6,16,2,851
moby,buildkit,f,f,2024-01-01,merged,MEMBER,a665e4470,172,6,4,5,100
moby,buildkit,f,f,2024-01-01,merged,MEMBER,afdafcebc,8,3,1,3,3
moby,buildkit,f,f,2024-01-01,merged,MEMBER,af5c6dc4c,181,3,1,363,515
moby,buildkit,f,f,2024-01-01,merged,MEMBER,afdafcebc,1193,21,1,103,104
moby,buildkit,f,f,2024-01-01,merged,MEMBER,afdafcebc,6,1,1,0,1
moby,buildkit,f,f,2024-01-01,merged,CONTRIBUTOR,a5a323c7b,2,1,1,1,1
